Messung;GPS;RMC;Jahr;Monat;Tag;GPS_1;GGA;Stunde;Minute;Sekunde;Longitude;Latitud;X;XX;Height;XXX;RTCMEZ;Jahr_Gerät;Monat_Gerät;Tag_Gerät;Stunde_Gerät;Minute_Gerät;Sekunde_Gerät;SENSORDATA;Sensor 0.5m;Sensor1_LF;Sensor 1m;Sensor2_LF;Sensor 2m;Sensor3_LF;Sensor 3m;Sensor4_LF;Sensor stationär;END;Time
4466;GPS;RMC;2024;12;12;GPS;GGA;10;53;36;7.43713;46.95168;17;0.7;573.6;49.5;RTCMEZ;2024;12;12;12;53;18;SENSORDATA;1.57;77.92;1.68;80;1.44;78.47;1.35;79.19;1.47;END;42798
4467;GPS;RMC;2024;12;12;GPS;GGA;10;53;37;7.43714;46.95168;17;0.7;573.6;49.5;RTCMEZ;2024;12;12;12;53;19;SENSORDATA;1.49;77.88;1.67;79.95;1.5;78.54;1.39;79.16;1.47;END;42799
4468;GPS;RMC;2024;12;12;GPS;GGA;10;53;38;7.43714;46.95168;18;0.7;573.6;49.5;RTCMEZ;2024;12;12;12;53;21;SENSORDATA;1.51;77.85;1.65;79.95;1.49;78.56;1.4;79.17;1.47;END;42801
4469;GPS;RMC;2024;12;12;GPS;GGA;10;53;39;7.43714;46.95168;18;0.7;573.6;49.5;RTCMEZ;2024;12;12;12;53;22;SENSORDATA;1.52;77.83;1.65;79.93;1.47;78.68;1.39;79.14;1.47;END;42802
4470;GPS;RMC;2024;12;12;GPS;GGA;10;53;41;7.43714;46.95168;18;0.7;573.6;49.5;RTCMEZ;2024;12;12;12;53;23;SENSORDATA;1.52;77.79;1.68;79.94;1.51;78.87;1.45;79.18;1.47;END;42803
4471;GPS;RMC;2024;12;12;GPS;GGA;10;53;42;7.43714;46.95168;18;0.7;573.6;49.5;RTCMEZ;2024;12;12;12;53;24;SENSORDATA;1.54;77.71;1.7;79.81;1.53;79.01;1.38;79.23;1.47;END;42804
4472;GPS;RMC;2024;12;12;GPS;GGA;10;53;43;7.43714;46.95168;18;0.7;573.6;49.5;RTCMEZ;2024;12;12;12;53;25;SENSORDATA;1.49;77.77;1.65;79.77;1.5;79.22;1.39;79.22;1.47;END;42805
4473;GPS;RMC;2024;12;12;GPS;GGA;10;53;44;7.43714;46.95168;18;0.7;573.6;49.5;RTCMEZ;2024;12;12;12;53;27;SENSORDATA;1.52;77.7;1.67;79.72;1.54;79.42;1.4;79.33;1.47;END;42807
4474;GPS;RMC;2024;12;12;GPS;GGA;10;53;46;7.43714;46.95168;18;0.7;573.6;49.5;RTCMEZ;2024;12;12;12;53;28;SENSORDATA;1.49;77.72;1.7;79.69;1.5;79.62;1.42;79.35;1.47;END;42808
4475;GPS;RMC;2024;12;12;GPS;GGA;10;53;47;7.43714;46.95168;17;0.7;573.7;49.5;RTCMEZ;2024;12;12;12;53;29;SENSORDATA;1.55;77.69;1.72;79.62;1.47;79.71;1.46;79.37;1.47;END;42809
4476;GPS;RMC;2024;12;12;GPS;GGA;10;53;48;7.43714;46.95168;17;0.7;573.7;49.5;RTCMEZ;2024;12;12;12;53;30;SENSORDATA;1.54;77.74;1.67;79.59;1.53;79.9;1.42;79.39;1.47;END;42810
4477;GPS;RMC;2024;12;12;GPS;GGA;10;53;49;7.43714;46.95168;17;0.7;573.7;49.5;RTCMEZ;2024;12;12;12;53;32;SENSORDATA;1.52;77.84;1.75;79.59;1.51;80.08;1.39;79.4;1.47;END;42812
4478;GPS;RMC;2024;12;12;GPS;GGA;10;53;50;7.43714;46.95168;17;0.7;573.7;49.5;RTCMEZ;2024;12;12;12;53;33;SENSORDATA;1.48;77.9;1.67;79.63;1.53;80.13;1.42;79.37;1.47;END;42813
4479;GPS;RMC;2024;12;12;GPS;GGA;10;53;52;7.43714;46.95168;17;0.7;573.7;49.5;RTCMEZ;2024;12;12;12;53;34;SENSORDATA;1.52;78.02;1.74;79.6;1.47;80.23;1.39;79.37;1.47;END;42814
4480;GPS;RMC;2024;12;12;GPS;GGA;10;53;53;7.43714;46.95168;17;0.7;573.7;49.5;RTCMEZ;2024;12;12;12;53;35;SENSORDATA;1.54;78.07;1.65;79.64;1.49;80.16;1.42;79.23;1.47;END;42815
4481;GPS;RMC;2024;12;12;GPS;GGA;10;53;54;7.43714;46.95168;17;0.7;573.7;49.5;RTCMEZ;2024;12;12;12;53;36;SENSORDATA;1.49;78.09;1.74;79.73;1.51;80.05;1.4;79.25;1.47;END;42816
4482;GPS;RMC;2024;12;12;GPS;GGA;10;53;55;7.43714;46.95168;17;0.7;573.7;49.5;RTCMEZ;2024;12;12;12;53;38;SENSORDATA;1.48;78.1;1.68;79.72;1.49;79.84;1.42;79.25;1.47;END;42818
4483;GPS;RMC;2024;12;12;GPS;GGA;10;53;56;7.43714;46.95168;17;0.7;573.7;49.5;RTCMEZ;2024;12;12;12;53;39;SENSORDATA;1.52;78.27;1.71;79.7;1.51;79.77;1.43;79.21;1.47;END;42819
4484;GPS;RMC;2024;12;12;GPS;GGA;10;53;58;7.43714;46.95168;17;0.7;573.6;49.5;RTCMEZ;2024;12;12;12;53;40;SENSORDATA;1.52;78.3;1.7;79.82;1.51;79.57;1.43;79.18;1.47;END;42820
4485;GPS;RMC;2024;12;12;GPS;GGA;10;53;59;7.43714;46.95168;17;0.7;573.6;49.5;RTCMEZ;2024;12;12;12;53;41;SENSORDATA;1.59;78.31;1.68;79.92;1.5;79.4;1.42;79.13;1.47;END;42821
4486;GPS;RMC;2024;12;12;GPS;GGA;10;54;0;7.43714;46.95168;17;0.7;573.7;49.5;RTCMEZ;2024;12;12;12;53;42;SENSORDATA;1.54;78.36;1.74;79.93;1.53;79.32;1.39;79.12;1.47;END;42822
