Messung;GPS;RMC;Jahr;Monat;Tag;GPS_1;GGA;Stunde;Minute;Sekunde;Longitude;Latitud;X;XX;Height;XXX;RTCMEZ;Jahr_Gerät;Monat_Gerät;Tag_Gerät;Stunde_Gerät;Minute_Gerät;Sekunde_Gerät;SENSORDATA;Sensor 0.5m;Sensor1_LF;Sensor 1m;Sensor2_LF;Sensor 2m;Sensor3_LF;Sensor 3m;Sensor4_LF;Sensor stationär;END;Time
4956;GPS;RMC;2024;12;12;GPS;GGA;11;3;31;7.43712;46.95167;19;0.7;569.1;49.5;RTCMEZ;2024;12;12;13;3;13;SENSORDATA;1.42;77.42;1.43;79.56;1.29;78.29;1.22;79.58;1.49;END;43393
4957;GPS;RMC;2024;12;12;GPS;GGA;11;3;32;7.43712;46.95167;19;0.7;569.1;49.5;RTCMEZ;2024;12;12;13;3;14;SENSORDATA;1.34;77.3;1.43;79.53;1.26;78.32;1.17;79.57;1.49;END;43394
4958;GPS;RMC;2024;12;12;GPS;GGA;11;3;33;7.43712;46.95167;19;0.7;569.2;49.5;RTCMEZ;2024;12;12;13;3;15;SENSORDATA;1.34;77.34;1.44;79.54;1.29;78.25;1.25;79.59;1.49;END;43395
4959;GPS;RMC;2024;12;12;GPS;GGA;11;3;34;7.43713;46.95167;19;0.7;569.1;49.5;RTCMEZ;2024;12;12;13;3;17;SENSORDATA;1.34;77.36;1.47;79.52;1.24;78.23;1.27;79.64;1.49;END;43397
4960;GPS;RMC;2024;12;12;GPS;GGA;11;3;36;7.43716;46.95166;19;0.7;569.3;49.5;RTCMEZ;2024;12;12;13;3;18;SENSORDATA;1.34;77.3;1.4;79.48;1.29;78.3;1.24;79.58;1.49;END;43398
4961;GPS;RMC;2024;12;12;GPS;GGA;11;3;37;7.43717;46.95165;19;0.7;569.4;49.5;RTCMEZ;2024;12;12;13;3;19;SENSORDATA;1.32;77.37;1.42;79.49;1.3;78.31;1.22;79.62;1.49;END;43399
4962;GPS;RMC;2024;12;12;GPS;GGA;11;3;38;7.43719;46.95165;19;0.7;569.4;49.5;RTCMEZ;2024;12;12;13;3;20;SENSORDATA;1.35;77.35;1.46;79.48;1.24;78.31;1.19;79.55;1.49;END;43400
4963;GPS;RMC;2024;12;12;GPS;GGA;11;3;39;7.43721;46.95165;19;0.7;569.3;49.5;RTCMEZ;2024;12;12;13;3;21;SENSORDATA;1.38;77.31;1.4;79.5;1.29;78.37;1.19;79.68;1.49;END;43401
4964;GPS;RMC;2024;12;12;GPS;GGA;11;3;40;7.43723;46.95165;19;0.7;569.2;49.5;RTCMEZ;2024;12;12;13;3;23;SENSORDATA;1.38;77.44;1.5;79.54;1.27;78.31;1.18;79.63;1.49;END;43403
4965;GPS;RMC;2024;12;12;GPS;GGA;11;3;42;7.43727;46.95165;19;0.7;569.3;49.5;RTCMEZ;2024;12;12;13;3;24;SENSORDATA;1.37;77.41;1.49;79.58;1.26;78.33;1.22;79.7;1.49;END;43404
4966;GPS;RMC;2024;12;12;GPS;GGA;11;3;43;7.43728;46.95165;19;0.7;569.5;49.5;RTCMEZ;2024;12;12;13;3;25;SENSORDATA;1.35;77.42;1.4;79.53;1.22;78.36;1.15;79.69;1.49;END;43405
4967;GPS;RMC;2024;12;12;GPS;GGA;11;3;44;7.4373;46.95165;19;0.7;569.7;49.5;RTCMEZ;2024;12;12;13;3;26;SENSORDATA;1.34;77.48;1.42;79.59;1.22;78.39;1.22;79.74;1.49;END;43406
4968;GPS;RMC;2024;12;12;GPS;GGA;11;3;45;7.43731;46.95166;19;0.7;569.7;49.5;RTCMEZ;2024;12;12;13;3;28;SENSORDATA;1.37;77.55;1.4;79.56;1.24;78.45;1.17;79.7;1.49;END;43408
4969;GPS;RMC;2024;12;12;GPS;GGA;11;3;46;7.43733;46.95166;19;0.7;569.7;49.5;RTCMEZ;2024;12;12;13;3;29;SENSORDATA;1.34;77.55;1.4;79.6;1.23;78.46;1.22;79.78;1.49;END;43409
4970;GPS;RMC;2024;12;12;GPS;GGA;11;3;48;7.43735;46.95167;19;0.7;569.8;49.5;RTCMEZ;2024;12;12;13;3;30;SENSORDATA;1.35;77.56;1.42;79.61;1.26;78.44;1.17;79.8;1.49;END;43410
