dateObserved;temperature;relativeHumidity
2024-09-22T15:11Z;20.759518;68.79591
2024-09-22T15:21Z;20.385672;66.22095
2024-09-22T15:31Z;20.284199;67.33677
2024-09-22T15:41Z;20.065233;69.42344
2024-09-22T15:51Z;19.902342;71.441444
2024-09-22T16:01Z;19.568552;72.85863
2024-09-22T16:21Z;18.99443;73.58152
2024-09-22T17:01Z;17.432287;81.71267
2024-09-22T17:21Z;16.700619;86.93889
2024-09-22T17:31Z;16.46296;87.114365
2024-09-22T17:41Z;16.284046;89.36126
2024-09-22T17:51Z;16.15053;90.65446
2024-09-22T18:11Z;15.931563;91.808426
2024-09-22T18:41Z;15.776684;93.95613
2024-09-22T19:01Z;15.57908;94.22507
2024-09-22T19:11Z;15.555047;94.29374
2024-09-22T19:21Z;15.541696;94.240326
2024-09-22T19:51Z;15.344091;93.82643
2024-09-22T20:21Z;15.098421;93.830246
2024-09-22T20:41Z;14.7673;93.76158
2024-09-22T20:51Z;14.716563;94.89647
2024-09-22T21:31Z;14.719234;95.60792
2024-09-22T21:41Z;14.711223;95.52781
2024-09-22T21:51Z;14.548333;95.19211
2024-09-22T22:21Z;14.430839;93.967575
2024-09-22T22:41Z;14.537652;93.97139
2024-09-22T23:01Z;14.615091;94.17929
2024-09-22T23:11Z;14.575036;92.85176
2024-09-22T23:21Z;14.572366;92.62859
2024-09-22T23:31Z;14.585717;93.65095
2024-09-22T23:51Z;14.393454;93.696724
2024-09-23T00:21Z;14.318685;94.274666
2024-09-23T01:01Z;14.102388;94.46349
2024-09-23T01:11Z;14.062333;94.46349
2024-09-23T01:41Z;13.9822235;94.73434
2024-09-23T02:11Z;13.96086;94.36622
2024-09-23T02:21Z;13.990234;94.23651
2024-09-23T02:31Z;13.923476;95.01854
2024-09-23T03:01Z;13.752575;95.415276
2024-09-23T03:21Z;13.661784;95.602196
2024-09-23T03:51Z;13.731213;95.32372
2024-09-23T04:01Z;13.797971;95.44198
2024-09-23T04:11Z;13.816663;95.1387
2024-09-23T04:41Z;13.699168;94.96323
2024-09-23T05:11Z;13.600367;95.3447
2024-09-23T06:01Z;13.653772;95.52209
2024-09-23T06:11Z;13.7579155;94.88312
2024-09-23T06:31Z;13.8326845;94.47303
2024-09-23T06:51Z;13.87808;94.432976
2024-09-23T08:11Z;14.297322;92.346306
2024-09-23T08:41Z;14.478905;92.53513
2024-09-23T09:51Z;14.281301;93.151215
2024-09-23T10:11Z;14.326695;93.36294
2024-09-23T11:01Z;14.230564;92.85939
2024-09-23T11:21Z;14.404135;93.50599
