Messung;Jahr;Monat;Tag;Longitude;Latitude;Height;Stunde;Minute;Sekunde;Sensor1_T;Sensor1_LF;Sensor2_T;Sensor2_LF;Sensor3_T;Sensor3_LF;Sensor4_T;Sensor4_LF;Time;Distanz_Nachbarpunkt;Distanz_Runsum;Height_GIS1;LCZ
1;2024;12;12;7.436;46.95439;573.8;10;37;14;1.76;66.78;1.91;68.44;1.3;69.57;1.24;70.79;34634;0;0;557.9000244;1
2;2024;12;12;7.43598;46.9544;573.7;10;37;16;1.8;66.87;1.86;68.44;1.3;69.56;1.27;70.81;34636;1.884882057;1.884882057;557.9000244;1
3;2024;12;12;7.43597;46.95441;573.6;10;37;17;1.78;66.93;1.94;68.46;1.33;69.64;1.21;70.78;34637;1.347180107;3.232062164;557.9000244;1
4;2024;12;12;7.43596;46.95441;573.7;10;37;18;1.76;66.94;1.88;68.4;1.29;69.51;1.21;70.73;34638;0.761114303;3.993176468;557.9000244;1
5;2024;12;12;7.43594;46.95442;573.6;10;37;19;1.78;66.88;1.91;68.44;1.3;69.59;1.22;70.78;34639;1.884881602;5.878058069;557.9299927;1
6;2024;12;12;7.43593;46.95443;573.6;10;37;20;1.75;66.81;1.94;68.49;1.26;69.5;1.19;70.78;34640;1.34717995;7.225238019;557.8800049;1
7;2024;12;12;7.4359;46.95444;573.4;10;37;22;1.78;66.86;1.94;68.45;1.24;69.53;1.21;70.83;34642;2.539537192;9.764775211;557.9099731;1
8;2024;12;12;7.43589;46.95445;573.2;10;37;23;1.76;66.82;1.89;68.48;1.24;69.54;1.18;70.77;34643;1.347179792;11.111955;557.9299927;1
9;2024;12;12;7.43588;46.95445;573.2;10;37;24;1.75;66.88;1.86;68.39;1.23;69.46;1.19;70.8;34644;0.761113736;11.87306874;557.8900146;1
10;2024;12;12;7.43587;46.95446;573.3;10;37;25;1.73;66.82;1.88;68.44;1.27;69.5;1.19;70.79;34645;1.347179713;13.22024845;557.8699951;1
11;2024;12;12;7.43586;46.95447;573.4;10;37;26;1.73;66.91;1.91;68.46;1.23;69.49;1.17;70.76;34646;1.347179636;14.56742809;557.9400024;1
12;2024;12;12;7.43584;46.95448;573.1;10;37;28;1.7;66.87;1.88;68.5;1.26;69.51;1.19;70.82;34648;1.884880235;16.45230832;557.9199829;1
13;2024;12;12;7.43583;46.95448;572.8;10;37;29;1.72;66.89;1.88;68.49;1.24;69.5;1.19;70.83;34649;0.761113311;17.21342164;557.9099731;1
14;2024;12;12;7.43582;46.95449;572.6;10;37;30;1.69;66.89;1.83;68.5;1.22;69.53;1.15;70.84;34650;1.347179479;18.56060111;557.9299927;1
15;2024;12;12;7.43581;46.9545;572;10;37;31;1.69;66.97;1.86;68.48;1.22;69.5;1.17;70.81;34651;1.3471794;19.90778051;557.9400024;1
16;2024;12;12;7.4358;46.95451;571.6;10;37;32;1.7;67.02;1.83;68.55;1.27;69.52;1.19;70.83;34652;1.34717932;21.25495983;557.960022;1
17;2024;12;12;7.43577;46.95452;571.2;10;37;34;1.69;67.02;1.82;68.61;1.24;69.56;1.18;70.88;34654;2.53953414;23.79449397;557.9299927;1
18;2024;12;12;7.43576;46.95453;571.3;10;37;35;1.7;67.03;1.88;68.54;1.24;69.62;1.17;70.83;34655;1.347179164;25.14167314;557.9199829;1
19;2024;12;12;7.43574;46.95454;571.4;10;37;36;1.72;67.05;1.86;68.6;1.2;69.62;1.15;70.9;34656;1.884878867;27.02655201;557.9000244;1
20;2024;12;12;7.43573;46.95454;571.2;10;37;37;1.69;67.12;1.85;68.61;1.2;69.62;1.14;70.91;34657;0.76111246;27.78766447;557.9000244;1
21;2024;12;12;7.43571;46.95455;571.2;10;37;39;1.7;67.12;1.85;68.58;1.18;69.65;1.15;70.93;34659;1.884878639;29.6725431;557.8900146;1
22;2024;12;12;7.43569;46.95456;571.2;10;37;40;1.69;67.17;1.85;68.6;1.19;69.76;1.19;70.99;34660;1.884878412;31.55742152;557.9000244;1
23;2024;12;12;7.43568;46.95457;571.3;10;37;41;1.7;67.18;1.83;68.58;1.18;69.63;1.14;71;34661;1.347178851;32.90460037;557.9000244;1
24;2024;12;12;7.43567;46.95458;571.2;10;37;42;1.72;67.2;1.85;68.63;1.24;69.74;1.11;71.06;34662;1.347178772;34.25177914;557.9899902;1
25;2024;12;12;7.43566;46.95459;571.2;10;37;43;1.62;67.28;1.86;68.69;1.19;69.76;1.09;71.06;34663;1.347178694;35.59895783;558.0100098;1
26;2024;12;12;7.43563;46.9546;571.2;10;37;45;1.69;67.3;1.81;68.76;1.19;69.75;1.12;71.09;34665;2.539531087;38.13848892;557.9699707;1
27;2024;12;12;7.43562;46.9546;571.3;10;37;46;1.68;67.35;1.83;68.8;1.22;69.8;1.15;71.17;34666;0.76111161;38.89960053;557.9400024;1
28;2024;12;12;7.43561;46.95461;571.6;10;37;47;1.7;67.34;1.81;68.99;1.23;69.8;1.15;71.12;34667;1.347178538;40.24677907;557.9699707;1
29;2024;12;12;7.43559;46.95462;571.8;10;37;48;1.65;67.38;1.85;68.93;1.24;69.87;1.12;71.17;34668;1.884877044;42.13165611;557.960022;1
30;2024;12;12;7.43558;46.95463;571.9;10;37;49;1.68;67.47;1.83;68.93;1.19;69.89;1.15;71.22;34669;1.34717838;43.47883449;558.0200195;1
31;2024;12;12;7.43556;46.95463;572.2;10;37;51;1.69;67.5;1.83;69.06;1.22;69.92;1.17;71.24;34671;1.522222368;45.00105686;558.0200195;1
32;2024;12;12;7.43555;46.95464;572.3;10;37;52;1.68;67.55;1.81;69.08;1.27;69.94;1.14;71.27;34672;1.347178301;46.34823516;558.0300293;1
33;2024;12;12;7.43553;46.95464;572.3;10;37;53;1.69;67.54;1.83;69.12;1.19;69.97;1.12;71.26;34673;1.522222085;47.87045725;558.1199951;1
34;2024;12;12;7.43552;46.95465;572.3;10;37;54;1.69;67.52;1.86;69.18;1.22;69.98;1.12;71.29;34674;1.347178224;49.21763547;558.0800171;1
35;2024;12;12;7.43551;46.95466;572.1;10;37;55;1.66;67.54;1.78;69.19;1.22;69.99;1.14;71.29;34675;1.347178144;50.56481362;558.0599976;1
36;2024;12;12;7.43549;46.95467;572;10;37;57;1.72;67.56;1.85;69.21;1.19;70;1.15;71.32;34677;1.884875905;52.44968952;558.1099854;1
37;2024;12;12;7.43548;46.95468;571.8;10;37;58;1.72;67.58;1.85;69.2;1.18;70.02;1.14;71.39;34678;1.347177988;53.79686751;558.0700073;1
38;2024;12;12;7.43547;46.95468;571.9;10;37;59;1.68;67.61;1.86;69.19;1.23;70.09;1.12;71.4;34679;0.761110475;54.55797798;558.1599731;1
39;2024;12;12;7.43546;46.95469;571.9;10;38;0;1.69;67.67;1.82;69.26;1.2;70.06;1.17;71.42;34680;1.347177909;55.90515589;558.0499878;1
40;2024;12;12;7.43545;46.95469;572;10;38;2;1.69;67.69;1.82;69.29;1.23;70.11;1.18;71.51;34682;0.761110333;56.66626623;558.1099854;1
41;2024;12;12;7.43542;46.95471;571.8;10;38;3;1.68;67.69;1.82;69.31;1.23;70.19;1.18;71.43;34683;3.186847285;59.85311351;558.1199951;1
42;2024;12;12;7.43541;46.95472;571.6;10;38;4;1.66;67.71;1.85;69.32;1.22;70.24;1.12;71.49;34684;1.347177674;61.20029119;557.9699707;1
43;2024;12;12;7.4354;46.95472;571.6;10;38;5;1.69;67.76;1.82;69.4;1.22;70.21;1.11;71.51;34685;0.761109908;61.96140109;558.0800171;1
44;2024;12;12;7.43539;46.95473;571.7;10;38;6;1.69;67.79;1.82;69.4;1.22;70.19;1.14;71.6;34686;1.347177594;63.30857869;557.9799805;1
45;2024;12;12;7.43537;46.95474;571.8;10;38;8;1.68;67.82;1.83;69.41;1.22;70.23;1.14;71.55;34688;1.884874311;65.193453;557.9699707;1
46;2024;12;12;7.43535;46.95475;571.5;10;38;9;1.68;67.82;1.83;69.51;1.22;70.27;1.11;71.57;34689;1.884874081;67.07832708;558.0599976;1
47;2024;12;12;7.43534;46.95476;571.5;10;38;10;1.66;67.88;1.83;69.5;1.24;70.32;1.12;71.64;34690;1.347177359;68.42550444;558.0100098;1
48;2024;12;12;7.43532;46.95476;571.5;10;38;11;1.68;67.93;1.86;69.45;1.19;70.38;1.12;71.62;34691;1.522218682;69.94772312;558.0999756;1
49;2024;12;12;7.43531;46.95477;571.4;10;38;12;1.63;67.88;1.78;69.53;1.22;70.36;1.11;71.57;34692;1.347177281;71.2949004;558.0800171;1
50;2024;12;12;7.43529;46.95478;570.9;10;38;14;1.63;67.82;1.81;69.51;1.2;70.31;1.14;71.58;34694;1.884873399;73.1797738;558.0200195;1
51;2024;12;12;7.43528;46.95479;570.6;10;38;15;1.69;67.84;1.81;69.5;1.22;70.33;1.11;71.61;34695;1.347177125;74.52695093;558.0499878;1
52;2024;12;12;7.43527;46.95479;570.4;10;38;16;1.68;67.9;1.83;69.4;1.24;70.33;1.14;71.64;34696;0.761108916;75.28805984;558.0499878;1
53;2024;12;12;7.43526;46.9548;570.4;10;38;17;1.68;67.91;1.83;69.46;1.23;70.3;1.12;71.6;34697;1.347177044;76.63523689;558.0599976;1
54;2024;12;12;7.43525;46.95481;570.3;10;38;18;1.7;67.88;1.79;69.39;1.15;70.31;1.09;71.62;34698;1.347176967;77.98241385;558.0100098;1
55;2024;12;12;7.43523;46.95482;570.3;10;38;20;1.65;67.86;1.81;69.41;1.23;70.32;1.08;71.64;34700;1.884872488;79.86728634;558.0100098;1
56;2024;12;12;7.43521;46.95483;570.3;10;38;21;1.65;67.86;1.79;69.35;1.26;70.32;1.12;71.64;34701;1.88487226;81.7521586;558.0599976;1
57;2024;12;12;7.4352;46.95484;570.2;10;38;22;1.65;67.82;1.79;69.32;1.19;70.34;1.12;71.63;34702;1.347176731;83.09933533;558.0499878;1
58;2024;12;12;7.43518;46.95485;570;10;38;23;1.62;67.74;1.79;69.27;1.16;70.32;1.09;71.6;34703;1.884871804;84.98420714;558.0700073;1
59;2024;12;12;7.43518;46.95485;570;10;38;25;1.63;67.76;1.83;69.31;1.22;70.31;1.14;71.64;34705;0;84.98420714;558.0700073;1
60;2024;12;12;7.43516;46.95486;569.6;10;38;26;1.68;67.73;1.79;69.3;1.19;70.32;1.15;71.6;34706;1.884871576;86.86907871;558.0499878;1
61;2024;12;12;7.43515;46.95487;569.3;10;38;27;1.65;67.72;1.77;69.34;1.19;70.23;1.11;71.63;34707;1.347176496;88.21625521;558.0300293;1
62;2024;12;12;7.43515;46.95488;569.1;10;38;28;1.72;67.71;1.77;69.27;1.19;70.32;1.08;71.59;34708;1.111575167;89.32783038;558.0999756;1
63;2024;12;12;7.43514;46.95488;569;10;38;29;1.66;67.77;1.77;69.34;1.22;70.33;1.14;71.62;34709;0.76110764;90.08893801;558.0599976;1
64;2024;12;12;7.43514;46.95489;568.9;10;38;31;1.63;67.78;1.82;69.35;1.22;70.35;1.11;71.57;34711;1.111575169;91.20051318;558.0999756;1
65;2024;12;12;7.43514;46.9549;568.7;10;38;32;1.65;67.77;1.78;69.31;1.2;70.43;1.09;71.62;34712;1.111575171;92.31208835;558.0599976;1
66;2024;12;12;7.43514;46.9549;568.7;10;38;33;1.68;67.8;1.81;69.34;1.2;70.42;1.05;71.65;34713;0;92.31208835;558.0599976;1
67;2024;12;12;7.43514;46.95491;568.7;10;38;34;1.62;67.73;1.82;69.31;1.22;70.42;1.12;71.64;34714;1.111575173;93.42366353;558.1699829;1
68;2024;12;12;7.43514;46.95491;568.6;10;38;35;1.61;67.78;1.71;69.33;1.19;70.43;1.14;71.61;34715;0;93.42366353;558.1699829;1
69;2024;12;12;7.43516;46.95491;569;10;38;37;1.62;67.77;1.77;69.3;1.24;70.41;1.12;71.63;34717;1.522214429;94.94587796;558.3200073;1
70;2024;12;12;7.43518;46.95492;569.9;10;38;38;1.61;67.75;1.78;69.33;1.15;70.39;1.14;71.68;34718;1.884870209;96.83074817;558.4199829;1
71;2024;12;12;7.4352;46.95492;570.1;10;38;39;1.62;67.73;1.78;69.3;1.2;70.37;1.14;71.7;34719;1.522214145;98.35296231;558.5;1
72;2024;12;12;7.43521;46.95493;569.8;10;38;40;1.65;67.72;1.81;69.35;1.27;70.4;1.12;71.62;34720;1.347176024;99.70013834;558.6199951;1
73;2024;12;12;7.43522;46.95494;569.4;10;38;42;1.62;67.79;1.78;69.33;1.24;70.39;1.09;71.61;34722;1.347175947;101.0473143;558.5599976;1
74;2024;12;12;7.43523;46.95496;568.5;10;38;43;1.63;67.77;1.78;69.28;1.19;70.37;1.11;71.63;34723;2.34982571;103.39714;558.3599854;1
75;2024;12;12;7.43524;46.95497;568.3;10;38;44;1.62;67.83;1.74;69.39;1.2;70.34;1.09;71.64;34724;1.347175711;104.7443157;558.3200073;1
76;2024;12;12;7.43525;46.95498;567.9;10;38;45;1.59;67.72;1.75;69.33;1.19;70.32;1.11;71.67;34725;1.347175631;106.0914913;558.2999878;1
77;2024;12;12;7.43526;46.95499;567.5;10;38;46;1.58;67.76;1.77;69.38;1.18;70.3;1.09;71.67;34726;1.347175555;107.4386669;558.2800293;1
78;2024;12;12;7.43527;46.955;567;10;38;48;1.65;67.83;1.7;69.36;1.22;70.37;1.07;71.67;34728;1.347175475;108.7858424;558.2299805;1
79;2024;12;12;7.43529;46.95502;566.3;10;38;49;1.59;67.81;1.77;69.42;1.2;70.31;1.14;71.64;34729;2.694350714;111.4801931;558.2700195;1
80;2024;12;12;7.4353;46.95503;566;10;38;50;1.58;67.83;1.75;69.37;1.22;70.28;1.12;71.71;34730;1.34717524;112.8273683;558.3200073;1
81;2024;12;12;7.43531;46.95504;565.9;10;38;51;1.58;67.83;1.72;69.39;1.23;70.41;1.11;71.63;34731;1.347175161;114.1745435;558.3499756;1
82;2024;12;12;7.43532;46.95504;565.7;10;38;52;1.59;67.82;1.72;69.43;1.22;70.37;1.12;71.75;34732;0.761105371;114.9356489;558.3400269;1
83;2024;12;12;7.43533;46.95505;565.7;10;38;54;1.59;67.83;1.74;69.46;1.19;70.38;1.11;71.68;34734;1.347175084;116.2828239;558.3499756;1
84;2024;12;12;7.43534;46.95507;565.8;10;38;55;1.54;67.77;1.75;69.46;1.22;70.42;1.11;71.71;34735;2.349825245;118.6326492;558.3300171;1
85;2024;12;12;7.43535;46.95508;565.7;10;38;56;1.59;67.81;1.72;69.44;1.22;70.42;1.11;71.8;34736;1.347174848;119.979824;558.4400024;1
86;2024;12;12;7.43535;46.95509;565.6;10;38;57;1.59;67.84;1.72;69.38;1.2;70.49;1.11;71.81;34737;1.111575207;121.0913992;558.3900146;1
87;2024;12;12;7.43535;46.9551;565.4;10;38;58;1.61;67.81;1.77;69.49;1.2;70.43;1.09;71.76;34738;1.11157521;122.2029744;558.4299927;1
88;2024;12;12;7.43535;46.9551;565.1;10;39;0;1.59;67.86;1.75;69.45;1.24;70.55;1.08;71.8;34740;0;122.2029744;558.4299927;1
89;2024;12;12;7.43533;46.95512;564.8;10;39;1;1.58;67.86;1.7;69.53;1.23;70.58;1.12;71.83;34741;2.694349146;124.8973236;558.3300171;1
90;2024;12;12;7.43532;46.95513;564.8;10;39;2;1.61;67.93;1.75;69.54;1.18;70.54;1.11;71.86;34742;1.347174454;126.244498;558.2999878;1
91;2024;12;12;7.43532;46.95514;564.7;10;39;3;1.58;67.94;1.74;69.59;1.22;70.6;1.09;71.87;34743;1.111575219;127.3560733;558.3300171;1
92;2024;12;12;7.43531;46.95514;564.6;10;39;5;1.54;67.99;1.7;69.56;1.19;70.54;1.11;71.92;34745;0.761103953;128.1171772;558.3699951;1
93;2024;12;12;7.43529;46.95515;564.8;10;39;6;1.55;67.95;1.62;69.55;1.16;70.49;1.11;71.82;34746;1.884864969;130.0020422;558.3599854;1
94;2024;12;12;7.43528;46.95516;564.9;10;39;7;1.54;67.94;1.71;69.57;1.23;70.57;1.09;71.82;34747;1.347174219;131.3492164;558.2999878;1
95;2024;12;12;7.43527;46.95517;564.9;10;39;8;1.58;67.92;1.65;69.61;1.22;70.55;1.12;71.86;34748;1.347174142;132.6963905;558.3300171;1
96;2024;12;12;7.43526;46.95518;565.1;10;39;9;1.57;67.99;1.7;69.59;1.15;70.55;1.09;71.91;34749;1.347174062;134.0435646;558.2800293;1
97;2024;12;12;7.43525;46.95519;565.2;10;39;11;1.55;68.04;1.67;69.59;1.16;70.55;1.09;71.94;34751;1.347173984;135.3907386;558.2199707;1
98;2024;12;12;7.43523;46.9552;565.3;10;39;12;1.52;67.95;1.72;69.62;1.18;70.53;1.07;71.87;34752;1.884863829;137.2756024;558.25;1
99;2024;12;12;7.43522;46.95521;565.3;10;39;13;1.55;68;1.68;69.62;1.19;70.53;1.12;71.9;34753;1.347173827;138.6227762;558.2600098;1
100;2024;12;12;7.43521;46.95521;565.2;10;39;14;1.48;68.06;1.68;69.62;1.18;70.59;1.09;71.91;34754;0.761102961;139.3838792;558.25;1
101;2024;12;12;7.43519;46.95522;565.2;10;39;15;1.54;68.06;1.67;69.63;1.15;70.58;1.11;71.96;34755;1.884863372;141.2687426;558.210022;1
102;2024;12;12;7.43518;46.95522;565.1;10;39;17;1.57;68.02;1.7;69.71;1.15;70.61;1.08;71.91;34757;0.761102819;142.0298454;558.1900024;1
103;2024;12;12;7.43517;46.95524;565;10;39;18;1.49;68.07;1.65;69.69;1.16;70.56;1.12;71.96;34758;2.349824527;144.3796699;558.2199707;1
104;2024;12;12;7.43517;46.95524;565.1;10;39;19;1.51;68.15;1.65;69.72;1.15;70.57;1.08;71.93;34759;0;144.3796699;558.2199707;1
105;2024;12;12;7.43516;46.95525;565;10;39;20;1.52;68.14;1.7;69.78;1.09;70.57;1.09;71.9;34760;1.347173513;145.7268434;558.2299805;1
106;2024;12;12;7.43516;46.95526;564.9;10;39;21;1.52;68.12;1.7;69.78;1.22;70.6;1.08;71.9;34761;1.111575242;146.8384187;558.1900024;1
107;2024;12;12;7.43516;46.95526;565.2;10;39;23;1.52;68.19;1.65;69.79;1.15;70.6;1.08;71.96;34763;0;146.8384187;558.1900024;1
108;2024;12;12;7.43516;46.95526;565.1;10;39;24;1.52;68.26;1.68;69.8;1.13;70.59;1.07;71.94;34764;0;146.8384187;558.1900024;1
109;2024;12;12;7.43516;46.95526;565.2;10;39;25;1.48;68.31;1.67;69.87;1.15;70.58;1.05;71.95;34765;0;146.8384187;558.1900024;1
110;2024;12;12;7.43517;46.95527;565.2;10;39;26;1.49;68.29;1.68;69.89;1.09;70.58;1.04;71.89;34766;1.347173356;148.185592;558.1500244;1
111;2024;12;12;7.43517;46.95527;565.2;10;39;28;1.54;68.35;1.71;69.88;1.13;70.56;1.08;71.98;34768;0;148.185592;558.1500244;1
112;2024;12;12;7.43517;46.95528;565.3;10;39;29;1.52;68.4;1.68;69.92;1.13;70.64;1.08;71.98;34769;1.111575246;149.2971673;558.1900024;1
113;2024;12;12;7.43517;46.95528;565.3;10;39;30;1.52;68.44;1.62;69.94;1.15;70.63;1.07;72.02;34770;0;149.2971673;558.1900024;1
114;2024;12;12;7.43517;46.95528;565.4;10;39;31;1.51;68.38;1.68;69.93;1.12;70.71;1.09;71.98;34771;0;149.2971673;558.1900024;1
115;2024;12;12;7.43517;46.95528;565.4;10;39;32;1.47;68.4;1.68;70.02;1.16;70.7;1.07;72.02;34772;0;149.2971673;558.1900024;1
116;2024;12;12;7.43517;46.95528;565.4;10;39;34;1.51;68.52;1.68;70.05;1.13;70.75;1.08;72.12;34774;0;149.2971673;558.1900024;1
117;2024;12;12;7.43517;46.95528;565.5;10;39;35;1.54;68.54;1.67;70.07;1.16;70.78;1.08;72.2;34775;0;149.2971673;558.1900024;1
118;2024;12;12;7.43517;46.95528;565.5;10;39;36;1.52;68.63;1.62;70.13;1.16;70.85;1.07;72.16;34776;0;149.2971673;558.1900024;1
119;2024;12;12;7.43517;46.95528;565.5;10;39;37;1.55;68.74;1.62;70.16;1.15;70.86;1.09;72.17;34777;0;149.2971673;558.1900024;1
120;2024;12;12;7.43517;46.95528;565.5;10;39;38;1.49;68.75;1.67;70.26;1.12;70.89;1.11;72.2;34778;0;149.2971673;558.1900024;1
121;2024;12;12;7.43517;46.95528;565.5;10;39;40;1.52;68.77;1.61;70.29;1.15;70.84;1.15;72.23;34780;0;149.2971673;558.1900024;1
122;2024;12;12;7.43517;46.95528;565.6;10;39;41;1.51;68.76;1.64;70.2;1.15;70.89;1.05;72.23;34781;0;149.2971673;558.1900024;1
123;2024;12;12;7.43517;46.95528;565.6;10;39;42;1.51;68.76;1.65;70.22;1.19;70.88;1.05;72.19;34782;0;149.2971673;558.1900024;1
124;2024;12;12;7.43517;46.95528;565.6;10;39;43;1.47;68.77;1.64;70.24;1.13;70.85;1.09;72.2;34783;0;149.2971673;558.1900024;1
125;2024;12;12;7.43517;46.95528;565.6;10;39;45;1.51;68.79;1.67;70.26;1.16;70.86;1.09;72.13;34785;0;149.2971673;558.1900024;1
126;2024;12;12;7.43517;46.95528;565.7;10;39;46;1.45;68.83;1.65;70.28;1.19;70.85;1.07;72.14;34786;0;149.2971673;558.1900024;1
127;2024;12;12;7.43517;46.95528;565.7;10;39;47;1.49;68.84;1.61;70.3;1.16;70.88;1.09;72.16;34787;0;149.2971673;558.1900024;1
128;2024;12;12;7.43517;46.95528;565.7;10;39;48;1.48;68.79;1.61;70.26;1.19;70.86;1.08;72.14;34788;0;149.2971673;558.1900024;1
129;2024;12;12;7.43517;46.95528;565.8;10;39;49;1.45;68.81;1.61;70.37;1.22;70.85;1.05;72.2;34789;0;149.2971673;558.1900024;1
130;2024;12;12;7.43517;46.95528;565.8;10;39;51;1.48;68.82;1.57;70.26;1.15;70.74;1.07;72.1;34791;0;149.2971673;558.1900024;1
131;2024;12;12;7.43517;46.95528;565.9;10;39;52;1.45;68.83;1.6;70.27;1.19;70.78;1.11;72.12;34792;0;149.2971673;558.1900024;1
132;2024;12;12;7.43517;46.95528;566;10;39;53;1.45;68.83;1.58;70.21;1.19;70.69;1.09;72.08;34793;0;149.2971673;558.1900024;1
133;2024;12;12;7.43517;46.95528;566;10;39;54;1.47;68.82;1.58;70.25;1.18;70.67;1.09;72.03;34794;0;149.2971673;558.1900024;1
134;2024;12;12;7.43517;46.95528;566;10;39;55;1.41;68.75;1.57;70.24;1.18;70.64;1.08;72;34795;0;149.2971673;558.1900024;1
135;2024;12;12;7.43517;46.95528;566;10;39;57;1.42;68.76;1.57;70.21;1.16;70.61;1.09;72.01;34797;0;149.2971673;558.1900024;1
136;2024;12;12;7.43517;46.95528;566.1;10;39;58;1.44;68.75;1.57;70.19;1.2;70.63;1.07;71.94;34798;0;149.2971673;558.1900024;1
137;2024;12;12;7.43517;46.95528;566.2;10;39;59;1.48;68.82;1.55;70.2;1.16;70.6;1.05;71.92;34799;0;149.2971673;558.1900024;1
138;2024;12;12;7.43517;46.95528;566.2;10;40;0;1.42;68.83;1.57;70.23;1.18;70.61;1.08;71.92;34800;0;149.2971673;558.1900024;1
139;2024;12;12;7.43517;46.95528;566.2;10;40;1;1.39;68.85;1.53;70.25;1.18;70.59;1.09;71.89;34801;0;149.2971673;558.1900024;1
140;2024;12;12;7.43517;46.95528;566.2;10;40;3;1.37;68.94;1.6;70.24;1.15;70.62;1.08;71.9;34803;0;149.2971673;558.1900024;1
141;2024;12;12;7.43517;46.95528;566.2;10;40;4;1.42;68.94;1.53;70.28;1.15;70.64;1.07;71.86;34804;0;149.2971673;558.1900024;1
142;2024;12;12;7.43517;46.95528;566.3;10;40;5;1.45;68.98;1.55;70.32;1.16;70.58;1.08;71.91;34805;0;149.2971673;558.1900024;1
143;2024;12;12;7.43517;46.95528;566.3;10;40;6;1.37;68.94;1.53;70.35;1.16;70.51;1.07;71.91;34806;0;149.2971673;558.1900024;1
144;2024;12;12;7.43517;46.95528;566.3;10;40;8;1.45;69;1.54;70.42;1.18;70.55;1.09;71.84;34808;0;149.2971673;558.1900024;1
145;2024;12;12;7.43517;46.95528;566.3;10;40;9;1.41;69;1.54;70.4;1.1;70.56;1.08;71.85;34809;0;149.2971673;558.1900024;1
146;2024;12;12;7.43517;46.95528;566.4;10;40;10;1.42;69.05;1.54;70.42;1.15;70.49;1.08;71.84;34810;0;149.2971673;558.1900024;1
147;2024;12;12;7.43517;46.95528;566.4;10;40;11;1.37;68.99;1.55;70.32;1.18;70.5;1.11;71.82;34811;0;149.2971673;558.1900024;1
148;2024;12;12;7.43517;46.95528;566.4;10;40;12;1.38;68.93;1.57;70.35;1.23;70.46;1.02;71.78;34812;0;149.2971673;558.1900024;1
149;2024;12;12;7.43517;46.95528;566.4;10;40;14;1.35;68.98;1.53;70.33;1.2;70.49;1.08;71.74;34814;0;149.2971673;558.1900024;1
150;2024;12;12;7.43517;46.95528;566.4;10;40;15;1.37;68.96;1.53;70.32;1.15;70.42;1.07;71.75;34815;0;149.2971673;558.1900024;1
151;2024;12;12;7.43517;46.95528;566.4;10;40;16;1.37;68.94;1.55;70.28;1.19;70.4;1.08;71.81;34816;0;149.2971673;558.1900024;1
152;2024;12;12;7.43517;46.95528;566.4;10;40;17;1.39;68.96;1.51;70.24;1.15;70.37;1.09;71.78;34817;0;149.2971673;558.1900024;1
153;2024;12;12;7.43517;46.95528;566.4;10;40;18;1.37;68.9;1.54;70.25;1.18;70.42;1.07;71.8;34818;0;149.2971673;558.1900024;1
154;2024;12;12;7.43517;46.95528;566.4;10;40;20;1.34;68.88;1.53;70.24;1.1;70.34;1.12;71.76;34820;0;149.2971673;558.1900024;1
155;2024;12;12;7.43517;46.95528;566.4;10;40;21;1.35;68.88;1.49;70.19;1.18;70.38;1.08;71.74;34821;0;149.2971673;558.1900024;1
156;2024;12;12;7.43517;46.95528;566.4;10;40;22;1.34;68.89;1.5;70.23;1.13;70.35;1.05;71.74;34822;0;149.2971673;558.1900024;1
157;2024;12;12;7.43517;46.95528;566.4;10;40;23;1.39;68.84;1.49;70.22;1.16;70.36;1.07;71.75;34823;0;149.2971673;558.1900024;1
158;2024;12;12;7.43517;46.95528;566.4;10;40;24;1.28;68.81;1.5;70.21;1.15;70.29;1.05;71.74;34824;0;149.2971673;558.1900024;1
159;2024;12;12;7.43517;46.95528;566.4;10;40;26;1.32;68.82;1.51;70.17;1.16;70.33;1.05;71.77;34826;0;149.2971673;558.1900024;1
160;2024;12;12;7.43517;46.95529;566.4;10;40;27;1.32;68.82;1.51;70.18;1.15;70.32;1.07;71.72;34827;1.111575247;150.4087425;558.1500244;1
161;2024;12;12;7.43515;46.9553;566.5;10;40;28;1.31;68.78;1.5;70.19;1.13;70.3;1.08;71.72;34828;1.884861549;152.2936041;558.1500244;1
162;2024;12;12;7.43515;46.95531;566.8;10;40;29;1.32;68.78;1.5;70.21;1.18;70.31;1.09;71.73;34829;1.11157525;153.4051793;558.1199951;1
163;2024;12;12;7.43514;46.95532;567.1;10;40;31;1.31;68.78;1.5;70.19;1.13;70.36;1.12;71.72;34831;1.347172964;154.7523523;558.1699829;1
164;2024;12;12;7.43514;46.95533;567.4;10;40;32;1.31;68.75;1.51;70.29;1.16;70.39;1.08;71.79;34832;1.111575254;155.8639275;558.1199951;1
165;2024;12;12;7.43513;46.95534;567.7;10;40;33;1.31;68.79;1.43;70.23;1.12;70.42;1.05;71.78;34833;1.347172807;157.2111004;558.1500244;1
166;2024;12;12;7.43511;46.95535;568.4;10;40;34;1.3;68.84;1.46;70.33;1.12;70.44;1.04;71.88;34834;1.884860411;159.0959608;558.1300049;1
167;2024;12;12;7.43511;46.95536;568.7;10;40;35;1.3;68.91;1.5;70.39;1.15;70.4;1.07;71.84;34835;1.11157526;160.207536;558.1699829;1
168;2024;12;12;7.4351;46.95538;568.7;10;40;37;1.38;69;1.47;70.45;1.13;70.44;1.07;71.99;34837;2.349823934;162.55736;558.2299805;1
